twitter,url,name,location
scsunnews,https://www.scsun-news.com/,Silver City Sun News,Silver City
sctimes,https://www.sctimes.com/,St. Cloud Times,St. Cloud
sdut,https://www.sandiegouniontribune.com/,San Diego Union Tribune,San Diego
seacoastonline,https://www.seacoastonline.com/,Seacoastonline.com,Portsmouth
searchlightnm,https://searchlightnm.org/,Searchlight New Mexico,Sante Fe
seattletimes,https://www.seattletimes.com/,Seattle Times,Seattle
semafor,https://www.semafor.com/,Semafor,New York City
sfchronicle,https://www.sfchronicle.com/,San Francisco Chronicle,San Francisco
sfstandard,https://sfstandard.com/,The San Francisco Standard,San Francisco
sgfcitizen,https://sgfcitizen.org/,Springfield Daily Citizen,Springfield
sheboyganpress,https://www.sheboyganpress.com/,Sheboygan Press,Sheboygan
shelbystar,https://www.shelbystar.com/,The Shelby Star,Shelby
sherwood_news,https://sherwood.news/,Sherwood News,New York City
shillsalmanac,https://thealmanac.net/,South Hills Almanac,South Hills
shinysheet,https://www.palmbeachdailynews.com/,Palm Beach Daily News,West Palm Beach
shreveporttimes,https://www.shreveporttimes.com/,Shreveport Times,Shreveport
signalcleveland,https://signalcleveland.org/,Signal Cleveland,Cleveland
sinow,https://www.si.com/,Sports Illustrated,New York City
siskiyou_daily,https://www.siskiyoudaily.com/,The Siskiyou Daily News,Yreka
sjrbreaking,https://www.sj-r.com/,The State Journal-Register,Springfield
sjspotlight,https://www.sanjosespotlight.com/,San José Spotlight,San Jose
sjvwater,https://sjvwater.org/news/,SJV Water,Bakersfield
slate,https://slate.com/,Slate,New York City
slotribune,http://www.sanluisobispo.com,The Tribune,San Luis Obispo
sltimes,https://www.stormlake.com/,Storm Lake Times,Storm Lake
sltrib,https://www.sltrib.com/,Salt Lake Tribune,Salt Lake City
sludge,https://readsludge.com/,Sludge,Brooklyn
source_nm,https://sourcenm.com/,Source New Mexico,Sante Fe
southcoasttoday,https://www.southcoasttoday.com/,SouthCoastToday.com,New Bedford
southsideweekly,https://southsideweekly.com/,South Side Weekly,Chicago
spacedotcom,https://www.space.com/,Space.com,New York City
spacenews_inc,https://spacenews.com/,Space News,Washington
spectrumnews,https://www.thespectrum.com/,The Spectrum,Salt Lake City
spokesmanreview,https://www.spokesman.com/,Spokesman-Review,Spokane
spotlight4dc,https://spotlightdc.org/,Spotlight DC,Washington
spotlightpa,https://www.spotlightpa.org/,Spotlight PA,Harrisburg
springfieldnl,https://www.news-leader.com/,Springfield News-Leader,Springfield
stamadvocate,https://www.stamfordadvocate.com/,Stamford Advocate,Stamford
standardex,https://www.standard.net/,Ogden Standard-Examiner,Ogden
staradvertiser,https://www.staradvertiser.com/,Honolulu Star-Advertiser,Honolulu
stargazette,https://www.stargazette.com/,Elmira Star Gazette,Elmira
starnewsonline,https://www.starnewsonline.com/,Wilmington Star-News,Wilmington
startelegram,https://www.star-telegram.com/,Fort Worth Star-Telegram,Fort Worth
startribune,https://www.startribune.com/,Minneapolis Star Tribune,Minneapolis
statejournal,https://www.state-journal.com/,Frankfort State Journal,Frankfort
statesman,https://www.statesman.com/,Austin Statesman,Austin
statnews,https://www.statnews.com/,STAT,Boston
staugrecord,https://www.staugustine.com/,The St. Augustine Record,St. Augustine
stevenspointjrl,https://www.stevenspointjournal.com/,Stevens Point Journal,Stevens Point
stlpublicradio,http://www.stlpublicradio.org/,St. Louis Public Radio,St. Louis
stltoday,https://www.stltoday.com/,St. Louis Post-Dispatch,St. Louis
strikewave,https://www.thestrikewave.com/,Strikewave,Troy
studyfindsorg,https://studyfinds.org/,Study Finds,Baltimore
sturgisnewsroom,https://www.sturgisjournal.com/,Sturgis Journal,Sturgis
sunherald,http://www.sunherald.com,Sun Herald,Biloxi
suntimes,https://chicago.suntimes.com/,Chicago Sun-Times,Chicago
taskandpurpose,https://taskandpurpose.com/,Task & Purpose,Washington
tauntontogo,https://www.tauntongazette.com/,Taunton Daily Gazette,Taunton
tb_times,https://www.tampabay.com/,Tampa Bay Times,Tampa
tci_newsroom,https://www.tricountyindependent.com/,Tri-County Independent,Honesdale
tcpalm,https://www.tcpalm.com/,Treasure Coast,Port St. Lucie
tdonline,https://www.tallahassee.com/,Tallahassee Democrat,Tallahassee
teamtrace,https://www.thetrace.org/,Trace,Brooklyn
techcrunch,https://techcrunch.com/,TechCrunch,San Francisco
techmeme,https://www.techmeme.com/,TechMeme,Silicon Valley
technical_ly,https://technical.ly/,Technical.ly,Philadelphia
techreview,https://www.technologyreview.com/,MIT Technology Review,Cambridge
teenvogue,https://www.teenvogue.com/,Teen Vogue,New York City
telegramdotcom,https://www.telegram.com/,Worcester Telegram & Gazette,Worcester
telegraphga,https://www.macon.com,The Telegraph,Macon
telegraphherald,https://www.telegraphherald.com/,Dubuque Telegraph Herald,Dubuque
tennessean,https://www.tennessean.com/,Nashville Tennessean,Nashville
texasmonthly,https://www.texasmonthly.com/,Texas Monthly,Austin
texasobserver,https://www.texasobserver.org/,Texas Observer,Austin
texastribune,https://www.texastribune.org/,Texas Tribune,Austin
the_ccij,https://investigatemidwest.org/,InvestigateMidwest,Champaign
the_daily_world,https://www.dailyworld.com/,Opelousas Daily World,Opelousas
the_news_herald,https://www.newsherald.com/,Panama City News-Herald,Panama City
the74,https://www.the74million.org/,74th,New York City
theadvertiser,https://www.theadvertiser.com/,Lafayette Daily Advertiser,Lafayette
